Index,gender,survived
441,Male,1
442,Female,0
443,Female,1
444,Male,0
445,Male,1
446,Male,0
447,Male,0
448,Female,0
449,Female,0
450,Male,1
451,Male,1
452,Female,0
453,Male,1
454,Female,1
455,Female,0
456,Female,0
457,Female,0
458,Female,1
459,Female,0
460,Female,1
461,Male,1
462,Male,1
463,Male,1
464,Male,0
465,Female,1
466,Female,0
467,Male,1
468,Female,0
469,Male,0
470,Female,1
471,Male,0
472,Female,0
473,Male,1
474,Male,1
475,Male,1
476,Female,0
477,Male,0
478,Male,0
479,Male,1
480,Male,0
481,Male,1
482,Female,1
483,Male,1
484,Male,1
485,Male,1
486,Female,1
487,Female,0
488,Male,1
489,Male,1
490,Female,1
491,Male,1
492,Female,1
493,Female,1
494,Female,0
495,Female,0
496,Male,1
497,Female,1
498,Male,1
499,Male,0
500,Male,1
501,Male,1
502,Female,1
503,Male,1
504,Male,1
505,Female,1
506,Male,1
507,Male,1
508,Male,1
509,Male,0
510,Male,0
511,Female,0
512,Male,0
513,Male,1
514,Female,1
515,Female,1
516,Female,0
517,Male,0
518,Male,1
519,Female,0
520,Male,1
521,Female,0
522,Male,1
523,Male,1
524,Male,1
525,Female,1
526,Female,1
527,Female,1
528,Female,0
529,Male,1
530,Male,1
531,Male,1
532,Male,0
533,Male,1
534,Male,1
535,Male,1
536,Male,1
537,Female,0
538,Female,1
539,Female,1
540,Male,0
541,Male,1
542,Female,1
543,Male,1
544,Male,0
545,Female,1
546,Female,0
547,Male,1
548,Male,1
549,Male,1
550,Male,0
551,Male,1
552,Male,0
553,Male,0
554,Male,1
555,Female,1
556,Female,0
557,Female,1
558,Male,0
559,Male,0
560,Male,1
561,Female,1
562,Female,0
563,Female,1
564,Female,0
565,Male,1
566,Female,0
567,Female,1
568,Male,1
569,Female,1
570,Male,1
571,Male,1
572,Female,0
573,Male,0
574,Male,1
575,Male,1
576,Female,1
577,Male,1
578,Female,0
579,Female,1
580,Female,1
581,Male,1
582,Female,0
583,Female,1
584,Male,0
585,Female,1
586,Female,0
587,Female,1
588,Female,1
589,Female,0
590,Female,0
591,Male,0
592,Female,1
593,Female,1
594,Male,0
595,Female,0
596,Male,1
597,Female,1
598,Female,1
599,Female,0
600,Female,1
601,Female,1
602,Female,1
603,Female,1
604,Female,1
605,Female,1
606,Female,1
607,Female,0
608,Male,1
609,Male,1
610,Female,0
611,Male,1
612,Male,1
613,Female,1
614,Male,1
615,Male,1
616,Female,0
617,Female,0
618,Male,1
619,Male,0
620,Female,1
621,Female,1
622,Female,1
623,Female,0
624,Male,1
625,Female,0
626,Female,1
627,Male,1
628,Female,1
629,Female,1
630,Male,0
631,Male,1
632,Male,1
633,Male,0
634,Female,0
635,Female,1
636,Male,1
637,Female,1
638,Female,0
639,Female,0
640,Female,1
641,Female,0
642,Female,1
643,Female,0
644,Female,1
645,Male,0
646,Male,1
647,Male,0
648,Male,0
649,Female,0
650,Female,1
651,Male,1
652,Male,1
653,Male,1
654,Female,1
655,Female,0
656,Female,1
657,Female,1
658,Male,1
659,Male,1
660,Female,0
661,Male,1
662,Male,0
663,Female,1
664,Female,0
665,Female,0
666,Female,1
667,Female,0
668,Female,1
669,Female,0
670,Female,1
671,Male,0
672,Female,0
673,Male,0
674,Female,0
675,Male,1
676,Female,1
677,Female,1
678,Male,1
679,Male,0
680,Male,1
681,Female,0
682,Female,0
683,Male,0
684,Male,1
685,Male,0
686,Male,0
687,Female,1
688,Male,1
689,Female,0
690,Female,1
691,Female,1
692,Male,1
693,Female,1
694,Female,1
695,Male,1
696,Female,1
697,Male,1
698,Female,0
699,Female,1
700,Male,0
701,Female,1
702,Female,1
703,Female,1
704,Female,1
705,Male,1
706,Female,0
707,Male,1
708,Female,0
709,Male,1
710,Male,1
711,Male,1
712,Female,0
713,Female,1
714,Female,1
715,Male,0
716,Male,1
717,Male,0
718,Female,0
719,Male,1
720,Male,1
721,Female,1
722,Female,1
723,Male,1
724,Male,0
725,Male,1
726,Female,1
727,Male,0
728,Female,0
729,Female,0
730,Female,1
731,Male,1
732,Male,1
733,Male,1
734,Female,1
735,Male,0
736,Female,1
737,Male,1
738,Female,1
739,Female,1
740,Female,0
741,Female,0
742,Male,0
743,Male,1
744,Female,1
745,Male,1
746,Female,1
747,Male,1
748,Male,0
749,Male,1
750,Female,1
751,Male,1
752,Male,1
753,Female,1
754,Female,0
755,Male,0
756,Male,0
757,Male,1
758,Male,1
759,Male,1
760,Female,1
761,Female,0
762,Female,1
763,Male,1
764,Female,1
765,Male,1
766,Male,0
767,Male,1
768,Female,1
769,Male,1
770,Female,1
771,Male,0
772,Female,0
773,Female,0
774,Male,0
775,Female,1
776,Female,0
777,Male,1
778,Male,1
779,Male,0
780,Male,1
781,Male,0
782,Female,1
783,Female,0
784,Female,0
785,Male,0
786,Male,1
787,Female,0
788,Female,1
789,Male,1
790,Female,1
791,Male,0
792,Male,1
793,Male,1
794,Female,1
795,Male,1
796,Male,0
797,Male,1
798,Male,1
799,Male,1
800,Male,0
801,Female,0
802,Male,1
803,Male,1
804,Female,1
805,Male,0
806,Male,1
807,Male,1
808,Female,1
809,Female,1
810,Male,1
811,Male,0
812,Female,1
813,Male,1
814,Male,1
815,Male,0
816,Male,1
817,Female,0
818,Female,0
819,Female,1
820,Male,1
821,Female,1
822,Female,0
823,Female,0
824,Male,1
825,Male,1
826,Female,1
827,Female,0
828,Male,0
829,Female,1
830,Female,0
831,Female,0
832,Female,0
833,Female,0
834,Female,0
835,Female,0
836,Male,1
837,Female,1
838,Male,0
839,Male,1
840,Female,1
841,Male,1
842,Female,1
843,Male,1
844,Female,0
845,Female,1
846,Female,1
847,Male,1
848,Male,0
849,Male,1
850,Female,1
851,Male,0
852,Female,0
853,Male,0
854,Female,0
855,Female,1
856,Female,0
857,Female,1
858,Male,0
859,Female,0
860,Male,0
861,Female,0
862,Male,1
863,Female,1
864,Female,0
865,Male,0
866,Female,1
867,Female,1
868,Male,1
869,Male,0
870,Female,0
871,Female,1
872,Male,1
873,Female,0
874,Female,0
875,Female,1
876,Male,1
877,Male,1
878,Female,1
879,Female,1
880,Female,0
881,Male,0
882,Female,0
883,Female,0
884,Male,1
885,Female,1
886,Male,1
887,Female,1
888,Female,0
889,Female,0
890,Male,1
891,Male,1
892,Male,0
893,Female,1
894,Male,1
895,Female,0
896,Female,0
897,Male,1
898,Female,1
899,Female,0
900,Female,1
901,Female,1
902,Female,0
903,Male,1
904,Female,0
905,Male,1
906,Male,0
907,Female,1
908,Female,1
909,Female,1
910,Male,1
911,Female,0
912,Male,0
913,Female,1
914,Male,1
915,Female,0
916,Female,0
917,Male,1
918,Male,1
919,Female,1
920,Male,0
921,Female,1
922,Male,1
923,Male,1
924,Female,0
925,Female,1
926,Female,0
927,Male,1
928,Male,1
929,Female,1
930,Female,0
931,Male,1
932,Male,1
933,Male,1
934,Female,0
935,Female,0
936,Female,1
937,Male,0
938,Female,1
939,Male,1
940,Female,1
941,Male,1
942,Male,0
943,Male,0
944,Female,0
945,Female,1
946,Female,1
947,Male,1
948,Male,1
949,Male,1
950,Male,1
951,Male,1
952,Female,0
953,Male,0
954,Female,0
955,Female,0
956,Male,1
957,Female,1
958,Female,0
959,Male,0
960,Female,1
961,Male,1
962,Female,0
963,Female,1
964,Female,1
965,Female,0
966,Male,1
967,Female,1
968,Male,1
969,Female,1
970,Male,1
971,Male,0
972,Male,1
973,Female,1
974,Female,1
975,Female,0
976,Male,1
977,Female,1
978,Female,0
979,Male,0
980,Female,1
981,Male,0
982,Female,1
983,Female,1
984,Male,1
985,Female,1
986,Male,0
987,Female,1
988,Female,1
989,Male,0
990,Male,0
991,Male,1
992,Female,0
993,Male,1
994,Female,0
995,Female,0
996,Male,0
997,Female,1
998,Male,1
999,Female,1
